event,game,month,source_link
The International 2021,Dota 2,2021-10,https://liquipedia.net/dota2/The_International/2021
Riyadh Masters 2022,Dota 2,2021-07,https://liquipedia.net/dota2/Riyadh_Masters/2022
The International 2022,Dota 2,2022-10,https://liquipedia.net/dota2/The_International/2022
Riyadh Masters 2023,Dota 2,2023-07,https://liquipedia.net/dota2/Riyadh_Masters/2023
The International 2023,Dota 2,2023-10,https://liquipedia.net/dota2/The_International/2023
Mid-Season Invitational 2021,League of Legends,2021-05,https://liquipedia.net/leagueoflegends/Mid-Season_Invitational/2021
League of Legends Worlds 2021,League of Legends,2021-11,https://liquipedia.net/leagueoflegends/World_Championship/2021
Mid-Season Invitational 2022,League of Legends,2022-05,https://liquipedia.net/leagueoflegends/Mid-Season_Invitational/2022
League of Legends Worlds 2022,League of Legends,2022-11,https://liquipedia.net/leagueoflegends/World_Championship/2022
Mid-Season Invitational 2023,League of Legends,2023-05,https://liquipedia.net/leagueoflegends/Mid-Season_Invitational/2023
League of Legends Worlds 2023,League of Legends,2023-11,https://liquipedia.net/leagueoflegends/World_Championship/2023
Gamers8 2022: Battle Royale,Fortnite,2022-07,https://liquipedia.net/fortnite/Gamers8/2022
Fortnite Champion Series: 2022 Invitational,Fortnite,2022-11,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2022/Invitational
MrBeast's Extreme Survival Challenge,Fortnite,2022-12,https://liquipedia.net/fortnite/MrBeast%27s_Extreme_Survival_Challenge
Gamers8 2023,Fortnite,2023-07,https://liquipedia.net/fortnite/Gamers8/2023
Fortnite Champion Series 2023 - Global Championship,Fortnite,2023-10,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2023
PGL Major Stockholm 2021,CS:GO,2021-10,https://liquipedia.net/counterstrike/PGL/2021/Stockholm
PGL Major Antwerp 2022,CS:GO,2022-05,https://liquipedia.net/counterstrike/PGL/2022/Antwerp
Intel Extreme Masters Rio Major 2022,CS:GO,2022-10,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2022/Rio
BLAST.tv Paris Major 2023,CS:GO,2023-05,https://liquipedia.net/counterstrike/BLAST/Major/2023/Paris
Counterstrike 2 Release Leak ,CS2,2023-02,https://www.youtube.com/watch?v=fbv4tSUQVKI
Counterstrike 2 Release Date,CS2,2023-09,https://dotesports.com/counter-strike/news/when-is-counter-strike-2-coming-out
Overwatch League 2021 - Playoffs,Overwatch,2021-09,https://liquipedia.net/overwatch/Overwatch_League/Season_4/Playoffs
Overwatch League 2022 - Playoffs,Overwatch,2022-09,https://liquipedia.net/overwatch/Overwatch_League/Season_5/Playoffs
Overwatch League 2023 - Playoffs,Overwatch,2023-09,https://liquipedia.net/overwatch/Overwatch_League/Season_6/Playoffs
Hearthstone World Championship 2021,Hearthstone,2021-12,https://liquipedia.net/hearthstone/Hearthstone_World_Championship_2021
Hearthstone World Championship 2022,Hearthstone,2022-12,https://liquipedia.net/hearthstone/Hearthstone_World_Championship_2022
Hearthstone World Championship 2023,Hearthstone,2023-12,https://liquipedia.net/hearthstone/Hearthstone_World_Championship_2023
PUBG Global Championship 2021,PUBG,2021-12,https://liquipedia.net/pubg/PUBG_Global_Championship/2021
PUBG Nations Cup 2022,PUBG,2022-06,https://liquipedia.net/pubg/PUBG_Nations_Cup/2022
PUBG Global Championship 2022,PUBG,2022-11,https://liquipedia.net/pubg/PUBG_Global_Championship/2022
PUBG Nations Cup 2023,PUBG,2023-09,https://liquipedia.net/pubg/PUBG_Nations_Cup/2023
PUBG Global Championship 2023,PUBG,2023-12,https://liquipedia.net/pubg/PUBG_Global_Championship/2023
